GMT	Lokální čas	RTISZDef.Prefix	RTISZDef.Suffix	KOTEL_SkupRiz	KOTEL_Pdg	KOTEL_Pdgnt	KOTEL_RRPR	KOTEL_RRSR	KOTEL_RRSRP	KOTEL_RRSRM	KOTEL_CmaxDO	KOTEL_CmaxNorm	KOTEL_nP	KOTEL_SRVreq	KOTEL_SRUreq	KOTEL_Pjm	KOTEL_Pmaxtech	KOTEL_Pmintech	KOTEL_Cmaxtech	KOTEL_CostA	KOTEL_CostB	KOTEL_CostC	KOTEL_CostAnt	KOTEL_CostBnt	KOTEL_CostCnt	KOTEL_vsA	KOTEL_vsB	KOTEL_PdgMin1	KOTEL_PdgMin2	KOTEL_PdgMin3	KOTEL_PdgMin4	KOTEL_PdgMin5	KOTEL_PdgMin6	KOTEL_PdgMin7	KOTEL_PdgMax1	KOTEL_PdgMax2	KOTEL_PdgMax3	KOTEL_PdgMax4	KOTEL_PdgMax5	KOTEL_PdgMax6	KOTEL_PdgMax7	KOTEL_TORPnt	KOTEL_TORMnt	KOTEL_PmaxtechPR	KOTEL_PmintechPR	KOTEL_CostAnt	KOTEL_CostBnt	KOTEL_CostCnt	KOTEL_BsSE	KOTEL_BsPpS	KOTEL_TGinfo	KOTEL_RZMZ5P	KOTEL_AMZ5P	KOTEL_NMZ5P	KOTEL_RZMZ15P	KOTEL_RZMZ15M	KOTEL_PlynDG	KOTEL_PlynMax24	KOTEL_PlynMax	KOTEL_Pminabs	KOTEL_Pmaxabs	KOTEL_RZRRPP1c	KOTEL_RZRRPP2c	KOTEL_RZRRPP3c	KOTEL_RZRRPP4c	KOTEL_RZRRPM1c	KOTEL_RZRRPM2c	KOTEL_RZRRPM3c	KOTEL_RZRRPM4c	KOTEL_PNZ	KOTEL_RRPR1r	KOTEL_RRPR2r	KOTEL_RRPR3r	KOTEL_RRPR4r	KOTEL_RRPR5r	KOTEL_RRPR6r
21.10.2021 13:00	21.10.2021 15:00	EVI	f	2	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EST2	fs	2	0	0	0	0	0	0	20	20	0	0	0	48	3	-3	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	-3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EST2	fq	2	0	0	0	0	0	0	20	20	0	0	0	48	3	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDA	fs	2	0	0	0	0	0	0	40	40	0	0	0	480	480	-480	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	-480	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-480	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDA	fq	2	0	0	0	0	0	0	40	40	0	0	0	480	480	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDS	fs	2	0	0	0	0	0	0	100	100	0	0	0	650	650	-650	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	-650	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-650	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDS	fq	2	0	0	0	0	0	0	100	100	0	0	0	650	640	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EME1	fa	2	0	0	0	0	0	0	0	0	0	0	0	246	0	0	3	0	1 071	0	0	1 071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1 071	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EME1	fb	2	110	90	3	0	0	0	0	3	0	1	1	246	110	107	3	0	1 071	0	0	1 071	21 402	0	20	107	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	110	107	0	1 071	21 402	4	4	63	0	0	0	0	0	0	0	0	107	110	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
21.10.2021 13:00	21.10.2021 15:00	EPC2	f	2	0	0	0	0	0	0	0	26	0	0	0	888	0	0	26	1	3 404	815 432	1	3 447	833 172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3 447	833 172	1	1	0	0	0	0	0	0	0	50	0	400	888	0	0	0	0	0	0	0	0	825	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EPO	f1	2	25	20	0	0	0	0	0	2	0	0	0	113	28	25	2	7	1 219	16 934	9	1 421	19 318	0	5	25	0	0	0	0	0	0	28	0	0	0	0	0	0	3	0	28	25	9	1 421	19 318	1	1	7	0	0	0	0	0	0	0	0	25	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EPO	f2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1 219	0	0	1 421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1 421	0	6	6	0	0	0	0	0	0	0	0	0	25	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	TTR	fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	TTR	fb	2	28	21	0	0	0	0	0	2	0	0	1	79	28	28	2	0	1 954	-16 349	0	2 013	-4 993	0	6	28	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	28	28	0	2 013	-4 993	1	1	63	0	0	0	0	0	0	0	0	26	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EMO	1	2	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EMO	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	ELE	6	1	620	529	0	0	0	-50	5	5	0	1	1	660	645	330	7	0	594	181 408	1	660	187 227	0	38	620	530	425	0	0	0	0	645	550	465	0	0	0	0	23	178	635	340	1	660	187 227	1	1	0	0	0	0	0	0	0	0	0	330	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EVD	fa	1	0	0	0	0	0	0	4	14	0	0	0	612	545	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	1	1	104	255	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
